26,3,207.34,253.40,96.00,40.26,0.8737,-1,-1,-1
27,2,309.87,327.52,113.69,57.64,0.8953,-1,-1,-1
27,3,207.15,253.20,95.93,40.29,0.8709,-1,-1,-1
28,2,289.36,331.19,115.76,58.48,0.8960,-1,-1,-1
28,3,206.98,253.21,96.21,40.30,0.8223,-1,-1,-1
29,2,267.49,334.66,118.66,59.18,0.8945,-1,-1,-1
29,3,206.83,253.26,96.35,39.98,0.8793,-1,-1,-1
30,2,246.11,337.64,122.11,61.02,0.9130,-1,-1,-1
30,3,206.40,253.05,96.77,40.25,0.8787,-1,-1,-1
31,2,224.45,340.38,124.98,62.62,0.8881,-1,-1,-1
31,3,206.44,252.75,96.31,40.17,0.8754,-1,-1,-1
32,2,201.26,345.51,128.59,62.59,0.8979,-1,-1,-1
32,3,206.62,252.90,96.33,40.08,0.8578,-1,-1,-1
33,2,177.82,348.23,131.62,65.52,0.9091,-1,-1,-1
33,3,207.16,252.60,95.85,40.25,0.8803,-1,-1,-1
34,2,152.84,353.24,136.60,64.66,0.8976,-1,-1,-1
34,3,207.46,252.48,95.41,40.40,0.8781,-1,-1,-1
35,2,128.58,356.37,140.86,67.84,0.8823,-1,-1,-1
35,3,207.47,252.63,96.04,40.48,0.8723,-1,-1,-1
36,2,102.71,361.47,144.50,68.71,0.8981,-1,-1,-1
36,3,207.45,252.90,96.30,40.38,0.8778,-1,-1,-1
37,2,76.19,366.24,149.66,69.45,0.8865,-1,-1,-1
37,3,206.86,252.94,96.58,40.51,0.8745,-1,-1,-1
38,2,49.16,370.75,153.73,70.59,0.8895,-1,-1,-1
38,3,207.30,252.76,96.24,40.48,0.8785,-1,-1,-1
39,2,20.97,375.74,158.36,72.23,0.9029,-1,-1,-1
39,3,207.51,252.65,96.11,40.63,0.8843,-1,-1,-1
40,2,0.00,379.33,155.53,74.92,0.9049,-1,-1,-1
40,3,207.83,252.83,95.74,40.37,0.8791,-1,-1,-1
41,2,0.00,382.88,130.42,78.21,0.8968,-1,-1,-1
41,3,207.58,252.63,95.51,40.29,0.8831,-1,-1,-1
42,2,0.00,386.71,105.58,80.62,0.8685,-1,-1,-1
42,3,207.42,252.62,95.77,40.10,0.8855,-1,-1,-1
43,2,0.00,393.74,80.27,71.57,0.8722,-1,-1,-1
43,3,207.37,252.30,95.97,40.12,0.8845,-1,-1,-1
44,2,0.00,401.63,51.89,64.16,0.8383,-1,-1,-1
44,3,207.87,252.33,95.76,40.19,0.8833,-1,-1,-1
45,3,208.33,252.64,95.60,40.08,0.8833,-1,-1,-1
46,3,208.27,252.83,95.32,39.92,0.8857,-1,-1,-1
47,3,208.19,252.43,95.40,40.26,0.8853,-1,-1,-1
48,3,207.98,252.28,95.44,40.61,0.8810,-1,-1,-1
49,3,208.03,252.28,95.40,40.61,0.8846,-1,-1,-1
50,3,207.24,251.71,96.07,41.01,0.8697,-1,-1,-1
51,3,207.29,251.39,95.95,40.92,0.8774,-1,-1,-1
52,3,206.88,251.86,96.20,40.77,0.8828,-1,-1,-1
53,3,206.93,252.01,95.93,40.65,0.8770,-1,-1,-1
54,3,207.19,252.22,95.75,40.62,0.8639,-1,-1,-1
54,4,942.05,223.58,17.65,61.96,0.4072,-1,-1,-1
55,3,207.84,252.81,95.69,40.24,0.8726,-1,-1,-1
55,4,937.39,226.78,22.34,59.42,0.4659,-1,-1,-1
55,5,936.45,226.56,23.27,59.36,0.3841,-1,-1,-1
56,3,207.45,253.04,96.20,40.41,0.8835,-1,-1,-1
56,4,932.29,227.43,27.45,59.57,0.8189,-1,-1,-1
57,3,207.29,253.43,96.43,40.29,0.8749,-1,-1,-1
57,4,928.13,226.75,31.62,62.23,0.7509,-1,-1,-1
58,3,207.29,253.91,96.45,40.10,0.8721,-1,-1,-1
58,4,921.90,226.56,37.85,64.93,0.7147,-1,-1,-1
59,3,207.51,253.95,95.48,40.14,0.8811,-1,-1,-1
59,4,915.87,226.64,43.86,67.06,0.8085,-1,-1,-1
60,3,208.02,254.00,94.84,40.19,0.8715,-1,-1,-1
60,4,911.83,226.44,47.92,69.58,0.8772,-1,-1,-1
61,3,207.52,254.26,95.79,40.21,0.8749,-1,-1,-1
61,4,906.94,226.09,52.80,70.90,0.8120,-1,-1,-1
62,3,207.38,254.85,95.70,39.85,0.8658,-1,-1,-1
62,4,901.21,226.46,58.52,71.34,0.8604,-1,-1,-1
63,3,206.28,255.08,96.98,39.84,0.8705,-1,-1,-1
63,4,896.04,228.18,63.69,71.76,0.8642,-1,-1,-1
64,3,206.99,255.18,95.71,40.00,0.8683,-1,-1,-1
64,4,890.38,228.21,69.33,73.81,0.8813,-1,-1,-1
65,3,207.27,255.44,95.42,39.77,0.8786,-1,-1,-1
65,4,884.50,227.69,75.19,75.82,0.8932,-1,-1,-1
66,3,207.54,255.59,95.42,39.83,0.8631,-1,-1,-1
66,4,879.66,227.24,80.04,78.00,0.8978,-1,-1,-1
67,3,207.28,255.53,96.07,39.89,0.8720,-1,-1,-1
67,4,874.00,227.61,85.68,79.05,0.9192,-1,-1,-1
68,3,206.88,255.53,96.61,39.92,0.8769,-1,-1,-1
68,4,868.07,228.13,91.64,79.91,0.9136,-1,-1,-1
69,3,207.09,255.83,96.04,39.80,0.8746,-1,-1,-1
69,4,861.96,227.96,97.78,80.86,0.9120,-1,-1,-1
70,3,207.38,256.19,95.79,39.60,0.8848,-1,-1,-1
70,4,855.48,227.26,104.23,83.81,0.9177,-1,-1,-1
71,3,208.20,256.33,95.24,39.56,0.8933,-1,-1,-1
71,4,848.04,227.60,111.67,85.57,0.9153,-1,-1,-1
72,3,207.91,256.69,96.01,39.47,0.8892,-1,-1,-1
72,4,841.27,228.56,118.40,86.39,0.9099,-1,-1,-1
73,3,207.85,256.78,95.75,39.74,0.8959,-1,-1,-1
73,4,834.45,229.08,125.20,86.97,0.9101,-1,-1,-1
74,3,207.49,256.92,96.06,39.81,0.8978,-1,-1,-1
74,4,827.29,229.46,132.46,88.09,0.8960,-1,-1,-1
75,3,207.87,256.99,96.36,40.08,0.8811,-1,-1,-1
75,4,819.67,230.18,140.01,88.64,0.9175,-1,-1,-1
76,3,207.61,256.90,96.62,39.97,0.8863,-1,-1,-1
76,4,811.37,232.00,148.17,88.58,0.9184,-1,-1,-1
77,3,208.25,256.98,95.53,40.16,0.8797,-1,-1,-1
77,4,803.75,232.27,156.04,89.95,0.9050,-1,-1,-1
78,3,207.10,256.99,96.53,40.23,0.8839,-1,-1,-1
78,4,795.90,233.55,163.57,90.51,0.9173,-1,-1,-1
79,3,207.19,257.06,95.80,40.17,0.8849,-1,-1,-1
79,4,788.45,234.31,167.70,91.89,0.9165,-1,-1,-1
80,3,207.06,256.76,95.50,39.97,0.8941,-1,-1,-1
80,4,779.09,235.10,173.53,93.54,0.9291,-1,-1,-1
81,3,206.78,256.65,95.56,39.83,0.8974,-1,-1,-1
81,4,770.28,235.66,177.20,94.54,0.9264,-1,-1,-1
82,3,207.15,256.68,95.50,39.73,0.8959,-1,-1,-1
82,4,761.48,236.13,181.58,96.14,0.9207,-1,-1,-1
